Filename	wpi-10-5
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-10-5
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9596	24.999	152.917	2.99581	0.173278	0.519107	2.98542	1.550e-3			7786.60	0.0101944	0.199028	57.2463	2.99581
69.9972	24.998	188.830	2.90749	0.0400216	0.116363	8.98231	1.045e-3			1745.44	0.0125887	0.598821	57.7050	2.90749
105.066	25.000	237.770	2.92241	0.0396116	0.115761	16.54094	1.915e-3			1736.42	0.0158514	1.10273	58.2891	2.92241
140.104	24.998	299.300	2.99879	0.0331505	0.0994113	26.08643	2.593e-3			1491.17	0.0199533	1.73910	58.4619	2.99879
175.141	24.999	376.791	3.13332	0.0305542	0.0957360	37.98681	3.637e-3			1436.04	0.0251194	2.53245	62.9249	3.13332
210.194	24.999	474.405	3.00759	0.0290168	0.0872707	53.20061	4.643e-3			1309.06	0.0316270	3.54671	69.3552	3.00759
245.310	25.000	597.221	2.86997	0.0216480	0.0621290	72.32894	4.494e-3			931.935	0.0398148	4.82193	67.0228	2.86997
280.348	25.001	751.797	2.86645	0.0223312	0.0640113	96.59471	6.183e-3			960.169	0.0501198	6.43965	61.0015	2.86645
315.416	24.999	946.447	3.05616	0.0247145	0.0755313	125.84585	9.505e-3			1132.97	0.0630965	8.38972	61.3609	3.05616
350.423	25.000	1191.54	2.90348	0.0213851	0.0620910	163.69623	0.01016			931.365	0.0794362	10.9131	67.5375	2.90348
385.492	24.999	1499.93	2.99804	0.0253668	0.0760507	211.42885	0.01608			1140.76	0.0999952	14.0953	60.9971	2.99804
420.498	25.001	1888.36	2.89605	0.0230005	0.0666104	272.02418	0.01812			999.156	0.125891	18.1349	65.0949	2.89605
455.567	24.999	2377.39	3.01796	0.0237467	0.0716667	348.42727	0.02497			1075.00	0.158493	23.2285	63.5398	3.01796
490.589	24.999	2992.82	2.99470	0.0252433	0.0755960	443.50541	0.03353			1133.94	0.199522	29.5670	63.9064	2.99470
525.689	24.999	3767.84	3.02708	0.0260224	0.0787720	563.42459	0.04438			1181.58	0.251189	37.5616	64.0359	3.02708
560.726	25.000	4743.38	2.96390	0.0262886	0.0779167	715.73788	0.05577			1168.75	0.316225	47.7159	64.8069	2.96390
595.795	24.999	5971.80	2.98905	0.0261996	0.0783120	904.76805	0.07085			1174.68	0.398120	60.3179	65.5398	2.98905
630.848	25.000	7517.90	2.97902	0.0263979	0.0786400	1147.86160	0.09027			1179.60	0.501193	76.5241	66.1817	2.97902
665.886	25.001	9464.43	2.99222	0.0259741	0.0777200	1447.80314	0.1125			1165.80	0.630962	96.5202	66.7003	2.99222
700.970	25.001	11915.2	2.99520	0.0257459	0.0771140	1827.61037	0.1409			1156.71	0.794346	121.841	67.4124	2.99520
736.008	25.000	15000.8	3.00402	0.0261494	0.0785533	2306.15783	0.1812			1178.30	1.00005	153.744	68.1707	3.00402
771.077	25.001	18884.4	3.00319	0.0263571	0.0791553	2909.62815	0.2303			1187.33	1.25896	193.975	68.8550	3.00319
806.099	24.999	23774.3	3.01068	0.0267605	0.0805673	3665.84420	0.2953			1208.51	1.58496	244.390	69.5664	3.01068
841.152	25.001	29930.8	3.01052	0.0269351	0.0810887	4621.36412	0.3747			1216.33	1.99539	308.091	70.5095	3.01052
876.190	25.000	37679.0	3.00957	0.0271385	0.0816753	5820.78266	0.4754			1225.13	2.51194	388.052	71.4598	3.00957
911.196	25.001	47429.6	3.01675	0.0275767	0.0831920	7340.39927	0.6107			1247.88	3.16197	489.360	72.2906	3.01675
946.312	25.001	59717.5	2.97137	0.0284372	0.0844973	9226.55678	0.7796			1267.46	3.98117	615.104	73.5308	2.97137
981.271	25.000	75178.4	2.97399	0.0289637	0.0861380	11622.94388	1.001			1292.07	5.01189	774.863	74.6042	2.97399
1016.34	25.001	94638.1	2.98062	0.0296704	0.0884360	14650.71869	1.296			1326.54	6.30921	976.715	75.3680	2.98062
1051.35	24.999	119149	2.93311	0.0311808	0.0914567	18421.17882	1.685			1371.85	7.94328	1228.08	75.9146	2.93311
1086.43	25.000	150000	2.96731	0.0321076	0.0952733	23215.70969	2.212			1429.10	9.99999	1547.71	76.5249	2.96731
1121.47	25.001	188839	3.03502	0.0328620	0.0997367	29254.19807	2.918			1496.05	12.5892	1950.28	77.1421	3.03502
1156.52	25.001	237734	3.06692	0.0340189	0.104333	36809.51691	3.840			1565.00	15.8489	2453.97	78.4657	3.06692
1191.56	25.000	299289	3.05643	0.0358294	0.109510	46330.30701	5.074			1642.65	19.9526	3088.69	79.2613	3.05643
1226.60	24.999	300000	3.05610	0.0358782	0.109647	56863.07007	6.235			1644.71	20.0000	3790.87	79.5226	3.05610

