Filename	wpi-4-1 (2)
Instrument name	5332-1858
Operator	 
rundate	2023/3/16
Sample name	wpi-4-1
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9752	25.000	154.710	3.02595	0.302543	0.915480	2.96839	2.718e-3			13732.2	0.0103140	0.197893	70.1871	3.02595
70.0128	24.999	188.816	2.98252	0.0333000	0.0993180	8.95904	8.898e-4			1489.77	0.0125877	0.597269	70.6409	2.98252
105.082	24.998	237.782	3.14168	0.0329582	0.103544	16.44485	1.703e-3			1553.16	0.0158522	1.09632	77.6570	3.14168
140.150	24.999	299.263	3.07516	0.0537633	0.165331	26.27925	4.345e-3			2479.96	0.0199509	1.75195	105.251	3.07516
175.219	24.998	376.919	2.84299	0.0244700	0.0695680	38.13107	2.653e-3			1043.52	0.0251280	2.54207	89.7670	2.84299
210.272	25.001	474.394	2.86522	0.0232336	0.0665695	53.15268	3.538e-3			998.542	0.0316263	3.54351	77.8150	2.86522
245.357	25.000	597.183	2.86606	0.0245654	0.0704060	72.49573	5.104e-3			1056.09	0.0398122	4.83305	69.2212	2.86606
280.363	25.002	751.805	2.97261	0.0274336	0.0815493	96.09471	7.836e-3			1223.24	0.0501203	6.40631	67.2693	2.97261
315.416	25.000	946.310	2.98116	0.0270334	0.0805907	126.29734	0.01018			1208.86	0.0630874	8.41982	91.5347	2.98116
350.438	25.001	1191.47	2.86155	0.0238887	0.0683587	165.16417	0.01129			1025.38	0.0794317	11.0109	72.1641	2.86155
385.507	24.999	1500.02	3.08816	0.0260930	0.0805793	211.57165	0.01705			1208.69	0.100001	14.1048	77.1291	3.08816
420.592	25.001	1888.42	2.91118	0.0275066	0.0800767	273.32070	0.02189			1201.15	0.125895	18.2214	72.1939	2.91118
455.660	24.999	2377.42	2.90282	0.0254984	0.0740173	348.29244	0.02578			1110.26	0.158495	23.2195	75.5520	2.90282
490.698	25.000	2992.88	2.98994	0.0274759	0.0821513	443.87290	0.03646			1232.27	0.199525	29.5915	74.0339	2.98994
525.782	25.000	3767.72	3.00085	0.0262874	0.0788847	563.55584	0.04446			1183.27	0.251181	37.5704	74.9780	3.00085
560.820	24.998	4743.90	3.00132	0.0279488	0.0838833	715.59721	0.06003			1258.25	0.316260	47.7065	76.3951	3.00132
595.842	25.002	5971.64	2.99345	0.0272885	0.0816867	907.05001	0.07409			1225.30	0.398109	60.4700	76.8144	2.99345
630.864	25.000	7518.21	3.01123	0.0274754	0.0827347	1143.67509	0.09462			1241.02	0.501214	76.2450	77.2937	3.01123
665.917	24.998	9464.75	2.95558	0.0273742	0.0809067	1447.15774	0.1171			1213.60	0.630983	96.4772	80.1033	2.95558
700.924	25.001	11914.9	2.96175	0.0279088	0.0826587	1826.33698	0.1510			1239.88	0.794327	121.756	79.6525	2.96175
736.008	25.000	15000.8	2.96182	0.0282217	0.0835873	2307.30963	0.1929			1253.81	1.00006	153.821	81.3415	2.96182
771.046	25.001	18886.4	2.98052	0.0286641	0.0854340	2907.48477	0.2484			1281.51	1.25909	193.832	81.3426	2.98052
806.146	24.999	23776.7	3.01009	0.0287380	0.0865040	3671.40698	0.3176			1297.56	1.58512	244.760	81.3831	3.01009
841.214	24.999	29933.3	3.00556	0.0287960	0.0865480	4622.34306	0.4001			1298.22	1.99556	308.156	81.5797	3.00556
876.221	24.999	37680.1	3.01341	0.0289997	0.0873880	5824.67890	0.5090			1310.82	2.51200	388.312	82.0420	3.01341
911.321	25.001	47429.4	3.02787	0.0291331	0.0882113	7342.71812	0.6477			1323.17	3.16196	489.515	82.9310	3.02787
946.358	24.999	59714.5	3.12194	0.0284851	0.0889287	9231.59599	0.8210			1333.93	3.98097	615.440	83.3810	3.12194
981.427	25.001	75175.8	3.11516	0.0290849	0.0906040	11629.92096	1.054			1359.06	5.01172	775.328	83.9228	3.11516
1016.46	25.001	94643.3	3.09936	0.0299124	0.0927093	14651.40629	1.358			1390.64	6.30955	976.760	84.2747	3.09936
1051.58	24.999	119149	3.31605	0.0288349	0.0956180	18450.56915	1.764			1434.27	7.94328	1230.04	84.1631	3.31605
1086.62	25.001	150000	3.28970	0.0298836	0.0983080	23243.24036	2.285			1474.62	9.99999	1549.55	84.4529	3.28970
1121.67	25.001	188839	3.25436	0.0310824	0.101153	29263.52310	2.960			1517.30	12.5893	1950.90	85.1147	3.25436
1156.76	24.998	237734	3.19024	0.0327129	0.104362	36808.24280	3.841			1565.43	15.8489	2453.88	86.7409	3.19024
1191.78	25.002	299289	3.15163	0.0343091	0.108129	46375.32425	5.015			1621.94	19.9526	3091.69	88.1134	3.15163
1226.85	25.000	300000	3.14742	0.0343168	0.108009	56867.67334	6.142			1620.14	20.0000	3791.18	88.4261	3.14742

