Filename	w-10-3
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-10-3
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9752	24.999	153.772	5.13032	0.507849	2.60543	2.81038	7.322e-3			39081.4	0.0102515	0.187358	32.2980	5.13032
69.9660	24.998	189.452	5.07322	0.0400960	0.203416	8.95625	1.822e-3			3051.24	0.0126301	0.597083	29.7591	5.07322
105.066	25.000	237.760	4.90562	0.0256648	0.125902	16.31360	2.054e-3			1888.53	0.0158507	1.08757	29.1876	4.90562
140.119	24.999	299.331	4.86697	0.0209070	0.101754	26.24458	2.670e-3			1526.31	0.0199554	1.74964	17.1554	4.86697
175.141	24.999	376.843	4.91596	0.0239336	0.117657	38.10177	4.483e-3			1764.85	0.0251229	2.54012	16.1118	4.91596
210.179	24.999	474.315	4.84995	0.0172556	0.0836887	53.48456	4.476e-3			1255.33	0.0316210	3.56564	5.13642	4.84995
245.185	25.000	597.165	4.97223	0.0250222	0.124416	72.25486	8.990e-3			1866.24	0.0398110	4.81699	-0.0356659	4.97223
280.254	25.000	751.820	5.13568	0.0257192	0.132085	96.08924	0.01269			1981.28	0.0501213	6.40595	12.5715	5.13568
315.276	25.000	946.486	4.87514	0.0173514	0.0845907	126.82571	0.01073			1268.86	0.0630990	8.45505	20.5370	4.87514
350.329	25.000	1191.46	4.91487	0.0221259	0.108746	164.96482	0.01794			1631.19	0.0794307	10.9977	4.51097	4.91487
385.304	25.001	1500.14	5.01560	0.0214149	0.107409	213.25088	0.02290			1611.13	0.100009	14.2167	18.9056	5.01560
420.420	24.999	1888.36	4.99782	0.0239311	0.119603	271.76821	0.03250			1794.05	0.125891	18.1179	10.6473	4.99782
455.426	25.001	2377.19	4.93913	0.0205029	0.101267	347.58392	0.03520			1519.00	0.158479	23.1723	12.3189	4.93913
490.495	24.998	2992.93	5.00968	0.0206100	0.103249	442.47872	0.04569			1548.74	0.199529	29.4986	11.9904	5.00968
525.548	24.999	3767.74	5.00366	0.0206589	0.103370	563.98612	0.05830			1550.55	0.251183	37.5991	13.5995	5.00366
560.570	25.000	4743.62	5.04695	0.0225365	0.113741	715.16502	0.08134			1706.11	0.316241	47.6777	14.5089	5.04695
595.639	24.999	5971.77	5.02308	0.0229108	0.115083	906.22169	0.1043			1726.24	0.398118	60.4148	15.8732	5.02308
630.677	24.999	7518.13	5.04716	0.0240695	0.121483	1145.81072	0.1392			1822.24	0.501209	76.3874	16.7288	5.04716
665.746	25.000	9464.36	5.02692	0.0247287	0.124309	1448.18854	0.1800			1864.64	0.630957	96.5459	17.6412	5.02692
700.783	25.001	11915.0	5.03726	0.0258652	0.130290	1827.03769	0.2380			1954.35	0.794332	121.803	18.4229	5.03726
735.852	25.000	14999.8	5.05173	0.0266978	0.134870	2306.84900	0.3111			2023.05	0.999990	153.790	19.3650	5.05173
770.890	24.999	18883.5	5.06182	0.0282572	0.143033	2910.92205	0.4164			2145.49	1.25890	194.061	20.3198	5.06182
805.912	25.000	23774.0	5.08422	0.0296091	0.150539	3665.41314	0.5518			2258.09	1.58493	244.361	21.2841	5.08422
840.996	24.999	29928.0	5.08864	0.0312384	0.158961	4622.98107	0.7349			2384.41	1.99520	308.199	22.5457	5.08864
876.034	25.000	37677.5	5.10150	0.0326668	0.166649	5827.79264	0.9712			2499.74	2.51183	388.520	24.0863	5.10150
911.118	25.001	47433.9	5.11195	0.0337365	0.172459	7340.59525	1.266			2586.89	3.16226	489.373	25.7938	5.11195
946.156	25.000	59718.2	5.10165	0.0351084	0.179111	9236.43970	1.654			2686.66	3.98122	615.763	27.1903	5.10165
981.193	25.000	75182.9	5.12097	0.0362078	0.185419	11636.04069	2.158			2781.29	5.01219	775.736	29.1430	5.12097
1016.23	25.000	94667.0	5.14072	0.0374256	0.192395	14650.36583	2.819			2885.92	6.31114	976.691	31.0664	5.14072
1051.25	25.000	119149	5.32751	0.0376182	0.200411	18443.80760	3.696			3006.17	7.94328	1229.59	32.3060	5.32751
1086.34	25.000	150000	5.31583	0.0391561	0.208147	23230.51453	4.835			3122.21	10.0000	1548.70	34.9438	5.31583
1121.37	24.999	188839	5.23366	0.0411363	0.215293	29276.92604	6.303			3229.40	12.5893	1951.80	38.7575	5.23366
1156.46	25.000	237734	5.24716	0.0427700	0.224421	36801.41830	8.259			3366.31	15.8489	2453.43	40.7516	5.24716
1191.50	25.000	299289	5.24793	0.0451304	0.236841	46353.46603	10.98			3552.62	19.9526	3090.23	41.4595	5.24793
1226.57	24.999	300000	5.24726	0.0451834	0.237089	56872.55859	13.48			3556.34	20.0000	3791.50	41.4441	5.24726

