Filename	w-4-2 (1)
Instrument name	5332-1858
Operator	 
rundate	2023/3/22
Sample name	w-4-2
Geometry name	3 Balls on Plate Tribology geometry
Procedure name	Sample
	Options
	Flow sweep
	End of test
proceduresegments	Flow sweep
[step]
Flow sweep - 1
Step time	Temperature	Sliding speed	Load Force	Coefficient Of Friction	Friction Force	Sliding distance	Friction Work	Friction Stress	Load Stress	Torque	Velocity	Displacement	Gap	Axial force
s	°C	µm/s	N		N	mm	J	Pa	Pa	µN.m	rad/s	rad	µm	N
34.9596	24.998	155.331	5.07802	0.404491	2.05401	2.91308	5.983e-3			30810.2	0.0103554	0.194205	1.65202	5.07802
70.0752	24.999	188.844	4.89231	0.0345798	0.169175	9.02263	1.526e-3			2537.63	0.0125896	0.601508	-5.17941	4.89231
105.128	25.001	237.622	5.06906	0.0354822	0.179861	16.37475	2.945e-3			2697.92	0.0158415	1.09165	-5.14825	5.06906
140.228	24.999	299.384	5.13596	0.0387065	0.198795	26.20719	5.210e-3			2981.93	0.0199589	1.74715	16.5042	5.13596
175.235	24.998	377.182	4.91057	0.0531630	0.261061	37.98997	9.918e-3			3915.91	0.0251455	2.53266	22.6741	4.91057
210.288	25.000	474.465	4.89701	0.0377622	0.184922	53.42188	9.879e-3			2773.83	0.0316310	3.56146	7.48149	4.89701
245.341	24.999	597.225	4.84246	0.0341795	0.165513	72.44306	0.01199			2482.69	0.0398150	4.82954	-2.19011	4.84246
280.332	24.999	751.725	5.00206	0.0440231	0.220206	96.25125	0.02120			3303.09	0.0501150	6.41675	-10.3924	5.00206
315.401	25.000	946.371	5.06065	0.0382841	0.193743	126.60468	0.02453			2906.14	0.0630914	8.44031	14.3797	5.06065
350.470	25.000	1191.35	4.87005	0.0319482	0.155589	164.16213	0.02554			2333.84	0.0794234	10.9441	2.30544	4.87005
385.523	24.999	1500.09	5.10950	0.0341479	0.174479	211.64393	0.03693			2617.18	0.100006	14.1096	1.25959	5.10950
420.545	25.000	1888.32	4.86942	0.0298795	0.145496	273.19363	0.03975			2182.44	0.125888	18.2129	3.04888	4.86942
455.567	25.000	2377.15	4.96720	0.0276670	0.137427	348.83538	0.04794			2061.41	0.158477	23.2557	2.60474	4.96720
490.589	24.999	2992.93	5.02655	0.0280130	0.140809	444.73451	0.06262			2112.13	0.199529	29.6490	1.54749	5.02655
525.704	25.000	3767.84	5.04418	0.0275793	0.139115	563.44098	0.07838			2086.72	0.251189	37.5627	2.65290	5.04418
560.726	25.000	4743.36	5.01938	0.0286418	0.143764	715.06339	0.1028			2156.46	0.316224	47.6709	4.11084	5.01938
595.826	24.999	5971.63	5.02418	0.0280272	0.140814	905.94673	0.1276			2112.21	0.398109	60.3965	5.41983	5.02418
630.802	25.001	7517.69	5.03923	0.0289755	0.146014	1145.13421	0.1672			2190.21	0.501179	76.3423	6.45018	5.03923
665.948	25.001	9464.80	5.03335	0.0296455	0.149216	1447.67249	0.2160			2238.24	0.630986	96.5115	7.52976	5.03335
701.002	25.000	11915.0	5.03663	0.0311273	0.156777	1827.20172	0.2865			2351.65	0.794336	121.813	8.48610	5.03663
736.008	25.000	15000.3	5.06564	0.0329718	0.167023	2306.81109	0.3853			2505.35	1.00002	153.787	9.41317	5.06564
771.108	24.999	18882.8	5.06549	0.0354136	0.179387	2907.70602	0.5216			2690.81	1.25885	193.847	10.6055	5.06549
806.083	25.001	23774.3	5.08727	0.0368647	0.187541	3665.87234	0.6875			2813.11	1.58495	244.391	11.7233	5.08727
841.183	25.000	29927.6	5.10017	0.0375009	0.191261	4618.71910	0.8834			2868.91	1.99517	307.915	12.9772	5.10017
876.221	24.999	37677.6	5.10527	0.0383284	0.195677	5820.26768	1.139			2935.15	2.51184	388.018	14.2863	5.10527
911.258	25.000	47434.0	5.11885	0.0390827	0.200059	7333.27007	1.467			3000.88	3.16227	488.885	16.0639	5.11885
946.296	24.999	59719.6	5.07979	0.0402990	0.204711	9224.14303	1.888			3070.66	3.98131	614.943	17.6735	5.07979
981.318	25.000	75182.1	5.09055	0.0408463	0.207930	11632.30801	2.419			3118.95	5.01214	775.487	19.4425	5.09055
1016.39	24.999	94641.1	5.10418	0.0412960	0.210782	14653.84865	3.089			3161.73	6.30941	976.923	21.2993	5.10418
1051.41	25.000	119149	5.10717	0.0422038	0.215542	18434.09348	3.973			3233.13	7.94328	1228.94	22.6080	5.10717
1086.49	24.999	150000	5.11389	0.0431162	0.220491	23230.90553	5.122			3307.37	9.99999	1548.73	24.9086	5.11389
1121.55	25.000	188839	5.17410	0.0435884	0.225531	29257.32422	6.598			3382.96	12.5892	1950.49	27.7891	5.17410
1156.62	24.999	237734	5.16515	0.0447797	0.231294	36809.63516	8.514			3469.41	15.8489	2453.98	29.5302	5.16515
1191.65	24.999	299289	5.24254	0.0454315	0.238177	46352.75269	11.04			3572.65	19.9526	3090.18	30.0896	5.24254
1226.72	25.001	300000	5.24523	0.0453855	0.238057	56890.01587	13.54			3570.86	20.0000	3792.67	30.2661	5.24523

